iter	Passed	Remaining
0	153	153347
1	156	78304
2	158	52522
3	159	39592
4	159	31837
5	160	26668
6	161	22966
7	162	20191
8	164	18062
9	165	16335
10	165	14920
11	166	13746
12	167	12747
13	169	11956
14	170	11228
15	172	10586
16	173	10012
17	174	9504
18	175	9052
19	176	8641
20	177	8267
21	178	7926
22	179	7614
23	180	7328
24	181	7067
25	182	6830
26	183	6629
27	185	6427
28	186	6234
29	187	6052
30	188	5881
31	189	5723
32	190	5575
33	191	5434
34	192	5300
35	193	5173
36	194	5058
37	195	4944
38	196	4844
39	198	4758
40	199	4662
41	200	4569
42	201	4480
43	202	4397
44	203	4321
45	204	4244
46	205	4173
47	206	4104
48	208	4041
49	209	3978
50	212	3957
51	213	3899
52	214	3840
53	216	3798
54	218	3758
55	219	3707
56	220	3655
57	222	3612
58	223	3566
59	224	3522
60	227	3505
61	229	3466
62	230	3427
63	231	3388
64	232	3348
65	233	3308
66	234	3271
67	235	3234
68	237	3199
69	238	3163
70	239	3130
71	242	3128
72	244	3109
73	246	3080
74	247	3049
75	248	3025
76	250	3002
77	251	2976
78	253	2959
79	255	2938
80	257	2919
81	259	2902
82	259	2870
83	260	2844
84	262	2821
85	263	2798
86	264	2772
87	265	2748
88	266	2724
89	267	2700
90	267	2676
91	268	2654
92	271	2644
93	272	2626
94	273	2609
95	275	2592
96	276	2572
97	277	2553
98	278	2534
99	279	2514
100	280	2495
101	281	2477
102	282	2458
103	283	2440
104	284	2425
105	286	2413
106	287	2400
107	288	2382
108	289	2366
109	290	2349
110	291	2333
111	292	2317
112	293	2301
113	294	2286
114	295	2271
115	296	2256
116	296	2240
117	297	2226
118	299	2220
119	302	2216
120	303	2203
121	304	2189
122	305	2175
123	306	2162
124	307	2149
125	308	2136
126	308	2122
127	309	2111
128	310	2099
129	311	2086
130	312	2074
131	315	2077
132	316	2066
133	317	2054
134	318	2043
135	319	2032
136	320	2020
137	321	2009
138	322	1999
139	323	1988
140	324	1977
141	325	1965
142	326	1955
143	327	1944
144	329	1941
145	330	1932
146	331	1923
147	332	1913
148	333	1903
149	334	1894
150	335	1885
151	336	1875
152	337	1866
153	338	1857
154	339	1849
155	340	1840
156	341	1832
157	342	1824
158	344	1820
159	345	1813
160	346	1803
161	347	1795
162	348	1788
163	349	1781
164	350	1773
165	351	1767
166	352	1759
167	353	1751
168	354	1744
169	355	1737
170	356	1729
171	358	1727
172	359	1720
173	361	1713
174	362	1706
175	363	1700
176	364	1693
177	365	1686
178	366	1679
179	367	1671
180	368	1665
181	369	1661
182	371	1658
183	374	1662
184	376	1657
185	377	1651
186	379	1648
187	380	1641
188	381	1635
189	382	1628
190	383	1622
191	384	1616
192	385	1610
193	386	1604
194	388	1603
195	389	1597
196	390	1591
197	391	1586
198	392	1580
199	393	1574
200	394	1569
201	396	1565
202	397	1560
203	398	1554
204	399	1549
205	400	1543
206	401	1538
207	403	1534
208	404	1530
209	405	1524
210	406	1520
211	407	1515
212	408	1510
213	409	1504
214	410	1499
215	411	1493
216	412	1488
217	413	1483
218	414	1477
219	415	1472
220	417	1471
221	418	1466
222	419	1461
223	420	1456
224	421	1451
225	422	1446
226	423	1441
227	424	1436
228	425	1433
229	426	1428
230	427	1423
231	428	1418
232	429	1413
233	430	1408
234	432	1408
235	433	1403
236	434	1398
237	435	1394
238	436	1389
239	437	1384
240	438	1381
241	439	1376
242	440	1372
243	441	1367
244	442	1363
245	443	1358
246	444	1354
247	445	1351
248	446	1348
249	448	1344
250	449	1340
251	450	1336
252	451	1332
253	452	1329
254	453	1324
255	454	1321
256	455	1316
257	456	1312
258	457	1308
259	458	1304
260	459	1300
261	461	1301
262	463	1298
263	464	1295
264	466	1293
265	467	1289
266	468	1286
267	469	1283
268	470	1279
269	472	1276
270	473	1274
271	476	1276
272	478	1274
273	481	1275
274	484	1278
275	487	1278
276	497	1297
277	499	1298
278	503	1301
279	507	1305
280	510	1305
281	511	1302
282	513	1300
283	515	1299
284	517	1297
285	518	1295
286	522	1299
287	524	1297
288	526	1295
289	528	1293
290	529	1289
291	530	1286
292	531	1283
293	532	1279
294	536	1282
295	539	1282
296	540	1279
297	544	1283
298	547	1282
299	551	1286
300	553	1285
301	554	1282
302	556	1279
303	558	1277
304	560	1277
305	562	1276
306	566	1278
307	569	1279
308	574	1284
309	577	1284
310	581	1288
311	584	1287
312	586	1287
313	587	1284
314	590	1283
315	594	1286
316	596	1284
317	597	1281
318	601	1285
319	604	1283
320	605	1281
321	608	1281
322	611	1280
323	613	1280
324	617	1281
325	620	1282
326	621	1279
327	623	1277
328	624	1274
329	626	1272
330	629	1272
331	631	1270
332	633	1268
333	634	1265
334	638	1266
335	639	1263
336	640	1260
337	641	1257
338	643	1255
339	645	1252
340	646	1250
341	648	1247
342	649	1244
343	652	1244
344	653	1241
345	655	1238
346	656	1235
347	657	1232
348	659	1229
349	660	1226
350	661	1223
351	663	1221
352	665	1219
353	667	1218
354	670	1217
355	671	1215
356	673	1212
357	674	1209
358	676	1208
359	677	1205
360	679	1202
361	680	1199
362	698	1225
363	702	1227
364	704	1226
365	709	1228
366	710	1225
367	715	1228
368	718	1229
369	721	1227
370	725	1230
371	731	1234
372	732	1231
373	734	1229
374	736	1227
375	738	1224
376	740	1223
377	741	1219
378	742	1216
379	743	1213
380	744	1209
381	745	1206
382	747	1203
383	748	1200
384	749	1196
385	750	1194
386	754	1194
387	755	1191
388	756	1188
389	758	1185
390	760	1183
391	761	1181
392	763	1178
393	765	1177
394	770	1179
395	772	1177
396	773	1175
397	780	1179
398	785	1183
399	787	1180
400	788	1177
401	790	1176
402	794	1177
403	796	1174
404	797	1171
405	799	1169
406	800	1166
407	802	1163
408	803	1160
409	804	1157
410	805	1155
411	807	1152
412	808	1149
413	810	1147
414	813	1146
415	814	1143
416	815	1140
417	816	1137
418	817	1133
419	818	1130
420	819	1127
421	822	1125
422	823	1122
423	824	1119
424	825	1116
